Investigative,Chemical Engineering,Faculty of Engineering,International Program,448000,2,1,3,3,2,1,1,1
Investigative,Automation Engineering,Faculty of Engineering,International Program,448000,2,2,3,1,1,1,0,0
Investigative,Environmental Engineering,Faculty of Engineering,International Program,448000,2,1,3,3,3,1,0,0
Artistic,Industrial Technology,Faculty of Industrial and Technology Education,Thai Program,167000,2,1,3,2,1,1,0,0
Artistic,Applied Computer Science-Multimedia,Faculty of Industrial and Technology Education,Thai Program,170000,1,1,2,1,1,1,0,0
Artistic,Industrial Education Program in Electrical Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,2,1,1,0,0
Artistic,Industrial Education Program in Production Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,2,1,1,0,0
Artistic,Industrial Education Program in Mechanical Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,1,1,1,0,0
Artistic,Industrial Education Program in Civil Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,1,1,1,0,0
Artistic,Educational Technology and Mass Communication,Faculty of Industrial and Technology Education,Thai Program,226000,2,1,3,2,1,1,0,0
Artistic,Printing and Packaging Technology,Faculty of Industrial and Technology Education,Thai Program,236000,1,1,3,2,1,1,0,0
Artistic,Media Arts,Media Art Technologies,Thai Program,294000,1,1,1,1,1,1,0,0
Artistic,Media Technology,Media Art Technologies,Thai Program,304500,1,1,1,1,1,1,1,1
Artistic,Medical and Science Media,Media Art Technologies,Thai Program,306000,1,1,1,1,1,1,1,1
Artistic,Interior Architecture,Faculty of Architecture and Design,Thai Program,626000,1,2,1,1,1,1,1,1
Artistic,Industrial Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,1
Artistic,Communication Design,Faculty of Architecture and Design,Thai Program,632000,1,2,1,1,1,1,1,0
Artistic,Architecture,Faculty of Architecture and Design,International Program,751000,1,2,1,1,1,1,1,0
Social,Food Science and Technology,Faculty of Science,Thai Program,162000,1,1,1,2,3,1,0,0
Social,Microbiology,Faculty of Science,Thai Program,165000,1,1,1,2,3,1,0,0
Social,Industrial Technology,Faculty of Industrial and Technology Education,Thai Program,167000,2,1,3,2,1,1,0,0
Social,Applied Computer Science-Multimedia,Faculty of Industrial and Technology Education,Thai Program,170000,1,1,2,1,1,1,0,0
Social,Industrial Education Program in Electrical Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,2,1,1,0,0
Social,Industrial Education Program in Production Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,2,1,1,0,0
Social,Industrial Education Program in Mechanical Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,1,1,1,0,0
Social,Industrial Education Program in Civil Engineering,Faculty of Industrial and Technology Education,Thai Program (5 years program),202500,3,1,3,1,1,1,0,0
Social,Educational Technology and Mass Communication,Faculty of Industrial and Technology Education,Thai Program,226000,2,1,3,2,1,1,0,0
Social,Printing and Packaging Technology,Faculty of Industrial and Technology Education,Thai Program,236000,1,1,3,2,1,1,0,0
Social,Media Arts,Media Art Technologies,Thai Program,294000,1,1,1,1,1,1,0,0
Social,Media Technology,Media Art Technologies,Thai Program,304500,1,1,1,1,1,1,1,1
